route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
01_1,FULLW,01_1_PM_1,,,,shape_1
01_1,FULLW,01_1_PM_2,,,,shape_2
01_1,FULLW,01_1_PM_3,,,,shape_3
01_1,FULLW,01_1_PM_4,,,,shape_4
01_1,FULLW,01_1_PM_5,,,,shape_5
01_1,FULLW,01_1_PM_6,,,,shape_6
01_1,FULLW,01_1_PM_7,,,,shape_7
01_1,FULLW,01_1_PM_8,,,,shape_8
01_1,FULLW,01_1_PM_9,,,,shape_9
01_1,FULLW,01_1_PM_10,,,,shape_10
01_1,FULLW,01_1_PM_11,,,,shape_11
01_1,FULLW,01_1_PM_12,,,,shape_12
01_1,FULLW,01_1_PM_13,,,,shape_13
01_1,FULLW,01_1_PM_14,,,,shape_14
01_1,FULLW,01_1_PM_15,,,,shape_15
01_1,FULLW,01_1_PM_16,,,,shape_16
01_1,FULLW,01_1_PM_17,,,,shape_17
01_1,FULLW,01_1_PM_18,,,,shape_18
01_1,FULLW,01_1_PM_19,,,,shape_19
01_1,FULLW,01_1_PM_20,,,,shape_20
01_1,FULLW,01_1_PM_21,,,,shape_21
01_2,FULLW,01_2_PM_1,,,,shape_22
01_2,FULLW,01_2_PM_2,,,,shape_23
01_2,FULLW,01_2_PM_3,,,,shape_24
01_2,FULLW,01_2_PM_4,,,,shape_25
01_2,FULLW,01_2_PM_5,,,,shape_26
01_2,FULLW,01_2_PM_6,,,,shape_27
01_2,FULLW,01_2_PM_7,,,,shape_28
01_2,FULLW,01_2_PM_8,,,,shape_29
01_2,FULLW,01_2_PM_9,,,,shape_30
01_2,FULLW,01_2_PM_10,,,,shape_31
01_2,FULLW,01_2_PM_11,,,,shape_32
01_2,FULLW,01_2_PM_12,,,,shape_33
01_2,FULLW,01_2_PM_13,,,,shape_34
01_2,FULLW,01_2_PM_14,,,,shape_35
01_2,FULLW,01_2_PM_15,,,,shape_36
01_2,FULLW,01_2_PM_16,,,,shape_37
01_2,FULLW,01_2_PM_17,,,,shape_38
01_2,FULLW,01_2_PM_18,,,,shape_39
01_2,FULLW,01_2_PM_19,,,,shape_40
01_2,FULLW,01_2_PM_20,,,,shape_41
01_2,FULLW,01_2_PM_21,,,,shape_42
02_1,FULLW,02_1_PM_1,,,,shape_43
02_1,FULLW,02_1_PM_2,,,,shape_44
02_1,FULLW,02_1_PM_3,,,,shape_45
02_1,FULLW,02_1_PM_4,,,,shape_46
02_1,FULLW,02_1_PM_5,,,,shape_47
02_1,FULLW,02_1_PM_6,,,,shape_48
02_1,FULLW,02_1_PM_7,,,,shape_49
02_1,FULLW,02_1_PM_8,,,,shape_50
02_1,FULLW,02_1_PM_9,,,,shape_51
02_1,FULLW,02_1_PM_10,,,,shape_52
02_1,FULLW,02_1_PM_11,,,,shape_53
02_1,FULLW,02_1_PM_12,,,,shape_54
02_1,FULLW,02_1_PM_13,,,,shape_55
02_1,FULLW,02_1_PM_14,,,,shape_56
02_1,FULLW,02_1_PM_15,,,,shape_57
02_1,FULLW,02_1_PM_16,,,,shape_58
02_1,FULLW,02_1_PM_17,,,,shape_59
